,Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details,DateTime
633,586,2007,12,11,Algeria,Alger,Algiers,Algiers,11,0,0,0,0,0,5,2,0,7,3,1,0,4,8,3,0,11,6,3,2,Vehicle-born,Unknown,Office,36.775348,3.0600655,"3 UN international (1 Filipino, 1 Senegalese, 1 Danish) staff and 5 UN national staff killed, 1 UN international staff and 2 UN national staff injured in the blast at the UN compound. Al Qaeda claimed responsibility.",2007-12-11
634,587,2007,12,14,Sri Lanka,Northern ,Jaffna ,Jaffna,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Kidnap-killing,Individual,Home ,9.6649255,80.0091719,"1 national RC volunteer abducted and murdered in the island's army-held northern Jaffna peninsula. Victim was abducted by unidentified gunmen from his Jaffna home on Friday in front of his family, and his corpse was found on Sunday. Nordic truce monitors blame state security forces for the killings. ""Definitely this (latest killing) must have been done by the LTTE to discredit the military and to show that we did it, so we deny that,"" said a military spokesman.",2007-12-14
635,767,2007,12,23,Sudan,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown, Combat (or police operations) ,Unknown,14.5844444,29.4917691,1 INGO national staff killed during ethnic strife/ staff relocation.,2007-12-23
636,1163,2007,12,24,Sudan,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,14.5844444,29.4917691,1 UN national staff contractor killed.,2007-12-24
637,588,2007,12,26,Somalia,Bari,Bosaso,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,0,Kidnapping ,Ambush,Road ,11.2784798,49.1799522,"2 INGO international (1 Spanish, 1 Argentine) staff (a doctor and nurse) kidnapped and freed, Jan 2. The police captured two of the kidnappers after a heavy exchange of gunfire. The abduction in Bosasso port came two days after gunmen in Puntland released a French journalist whom they kidnapped and held for eight days demanding $80,000 in ransom.",2007-12-26
638,768,2007,12,29,Sudan,Darfur,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,11.329444,25.08565623,1 INGO national staff murdered. Motive unknown,2007-12-29
639,589,2007,12,31,Burundi,Ruyigi ,,Ruyigi,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,2,0,2,0,Shooting (small arms ,Ambush,Road ,-3.4733471,30.2501278,"1 INGO international (French) staff killed and 1 INGO international (French) one badly wounded and evacuated. Three INGO international staff were escorting two national colleagues to the INGO's regional headquarters in Ruyigi province, when a gunman opened fire late Monday. The agency also said it was temporarily suspending all its operations in the central African nation until more information was available about the incident, but had no immediate plans to evacuate its staff. Thge INGO said they didn't know if we were targeted as a humanitarian agency or if they were under fire by accident. There are several hypotheses with one reporter cited as saying,""They fled after that without trying to steal anything...as if the whole operation had been aimed to kill.""",2007-12-31
643,590,2008,1,1,Sudan,Khartoum,,Khartoum,0,0,0,0,0,2,1,0,0,1,1,0,0,1,2,0,0,2,2,0,0,Shooting (small arms ,Ambush,Unknown,15.5933247,32.5356502,"1 donor agency international (American) staff and 1 national staff driver shot and killed in ambush during a New Years celebrations in Khartoum, January 1. The little-known froup Ansar Al Tawhid (Companions of Monotheism) soon claimed responsibility for the killings.",2008-01-01
644,935,2008,1,1,Chad,Wadi Fira ,,Gu,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily,Individual,Office,14.51667,22.08333,1 INGO national staff guard bound and beaten at INGO compound.,2008-01-01
645,703,2008,1,2,Somalia,Banaadir,,Mogadishu,0,0,2,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,1,0,1,Unknown,Raid,Office,2.033333,45.35,"1 NGO national staff machine operator killed and 1 INGO national staff guard wounded when compound attacked. Motive: robbery, several valuable items were stolen.",2008-01-02
646,769,2008,1,4,Afghanistan,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,Unknown,Unknown,Other public location ,33.93911,67.709953,1 INGO international staff wounded in Afghanistan hotel bombing.,2008-01-04
647,704,2008,1,7,Somalia,Banaadir,,Mogadishu,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Unknown,Unknown,2.033333,45.35,1 NGO national staff driver shot and killed by two men armed with pistols. The motive for the incident has not yet been established.,2008-01-07
648,684,2008,1,8,Pakistan,Khyber Pakhtunkhwa,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping ,Unknown,Project site ,34.5,72,"1 INGO national staff abducted from Dalla camp, Hangu by unidentified elements, 8 January 2009; later released unharmed.",2008-01-08
649,1217,2008,1,12,Sudan,West Darfur,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Unknown,Ambush,Road ,13.4263009,22.6574884,"1 UN national staff seriously injured during an attempted carjacking in West Darfur, 12 January 2008",2008-01-12
